Recording,Recording1,Recording1,Recording1
Total_duration_of_fixations.は,0,0,0
Total_duration_of_fixations.日,0,0,0
Total_duration_of_fixations.本,0,0,0
Total_duration_of_fixations.の,0,0,0
Total_duration_of_fixations.大,1500,1500,1500
Total_duration_of_fixations.部,392,392,392
Total_duration_of_fixations.分,0,0,0
Total_duration_of_fixations.は,0,0,0
Total_duration_of_fixations.梅,0,0,0
Total_duration_of_fixations.雨,275,275,275
Total_duration_of_fixations.明,0,0,0
Total_duration_of_fixations.け,0,0,0
Total_duration_of_fixations.し,0,0,0
Total_duration_of_fixations.、,0,0,0
Total_duration_of_fixations.本,0,0,0
Total_duration_of_fixations.格,0,0,0
Total_duration_of_fixations.的,0,0,0
Total_duration_of_fixations.な,325,325,325
Total_duration_of_fixations.夏,0,0,0
Total_duration_of_fixations.の,0,0,0
Total_duration_of_fixations.暑,0,0,0
Total_duration_of_fixations.さ,0,0,0
Total_duration_of_fixations.を,142,142,142
Total_duration_of_fixations.迎,0,0,0
Total_duration_of_fixations.え,0,0,0
Total_duration_of_fixations.る,0,0,0
Total_duration_of_fixations.。,0,0,0
Total_duration_of_fixations.梅,0,0,0
Total_duration_of_fixations.雨,0,0,0
Total_duration_of_fixations.明,0,0,0
Total_duration_of_fixations.け,242,242,242
Total_duration_of_fixations.の,0,0,0
Total_duration_of_fixations.直,0,0,0
Total_duration_of_fixations.後,292,292,292
Total_duration_of_fixations.は,0,0,0
Total_duration_of_fixations.、,0,0,0
Total_duration_of_fixations.梅,0,0,0
Total_duration_of_fixations.雨,0,0,0
Total_duration_of_fixations.明,1183,1183,1183
Total_duration_of_fixations.け,0,0,0
Total_duration_of_fixations.十,0,0,0
Total_duration_of_fixations.日,125,125,125
Total_duration_of_fixations.と,0,0,0
Total_duration_of_fixations.い,342,342,342
Total_duration_of_fixations.い,0,0,0
Total_duration_of_fixations.、,0,0,0
Total_duration_of_fixations.太,0,0,0
Total_duration_of_fixations.平,0,0,0
Total_duration_of_fixations.洋,1125,1125,1125
Total_duration_of_fixations.高,0,0,0
Total_duration_of_fixations.気,0,0,0
Total_duration_of_fixations.圧,400,400,400
Total_duration_of_fixations.の,208,208,208
Total_duration_of_fixations.勢,0,0,0
Total_duration_of_fixations.力,0,0,0
Total_duration_of_fixations.が,767,767,767
Total_duration_of_fixations.強,0,0,0
Total_duration_of_fixations.く,0,0,0
Total_duration_of_fixations.気,250,250,250
Total_duration_of_fixations.圧,0,0,0
Total_duration_of_fixations.配,183,183,183
Total_duration_of_fixations.置,0,0,0
Total_duration_of_fixations.が,0,0,0
Total_duration_of_fixations.安,0,0,0
Total_duration_of_fixations.定,0,0,0
Total_duration_of_fixations.し,0,0,0
Total_duration_of_fixations.て,0,0,0
Total_duration_of_fixations.い,0,0,0
Total_duration_of_fixations.る,0,0,0
Total_duration_of_fixations.の,0,0,0
Total_duration_of_fixations.で,0,0,0
Total_duration_of_fixations.穏,292,292,292
Total_duration_of_fixations.や,350,350,350
Total_duration_of_fixations.か,0,0,0
Total_duration_of_fixations.な,450,450,450
Total_duration_of_fixations.晴,233,233,233
Total_duration_of_fixations.天,0,0,0
Total_duration_of_fixations.が,217,217,217
Total_duration_of_fixations.続,375,375,375
Total_duration_of_fixations.く,0,0,0
Total_duration_of_fixations.こ,100,100,100
Total_duration_of_fixations.と,0,0,0
Total_duration_of_fixations.が,408,408,408
Total_duration_of_fixations.多,0,0,0
Total_duration_of_fixations.く,0,0,0
Total_duration_of_fixations.、,525,525,525
Total_duration_of_fixations.夕,250,250,250
Total_duration_of_fixations.立,0,0,0
Total_duration_of_fixations.も,0,0,0
Total_duration_of_fixations.発,1150,1150,1150
Total_duration_of_fixations.生,0,0,0
Total_duration_of_fixations.し,0,0,0
Total_duration_of_fixations.に,450,450,450
Total_duration_of_fixations.く,0,0,0
Total_duration_of_fixations.い,317,317,317
Total_duration_of_fixations.の,242,242,242
Total_duration_of_fixations.で,0,0,0
Total_duration_of_fixations.、,0,0,0
Total_duration_of_fixations.レ,0,0,0
Total_duration_of_fixations.ジ,0,0,0
Total_duration_of_fixations.ャ,0,0,0
Total_duration_of_fixations.ー,0,0,0
Total_duration_of_fixations.に,0,0,0
Total_duration_of_fixations.は,0,0,0
Total_duration_of_fixations.最,800,800,800
Total_duration_of_fixations.適,0,0,0
Total_duration_of_fixations.だ,0,0,0
Total_duration_of_fixations.と,0,0,0
Total_duration_of_fixations.い,183,183,183
Total_duration_of_fixations.う,0,0,0
Total_duration_of_fixations.意,0,0,0
Total_duration_of_fixations.見,0,0,0
Total_duration_of_fixations.も,325,325,325
Total_duration_of_fixations.あ,0,0,0
Total_duration_of_fixations.る,0,0,0
Total_duration_of_fixations.。,0,0,0
Total_duration_of_fixations.こ,150,150,150
Total_duration_of_fixations.れ,0,0,0
Total_duration_of_fixations.は,0,0,0
Total_duration_of_fixations.、,167,167,167
Total_duration_of_fixations.梅,0,0,0
Total_duration_of_fixations.雨,0,0,0
Total_duration_of_fixations.前,542,542,542
Total_duration_of_fixations.線,0,0,0
Total_duration_of_fixations.を,0,0,0
Total_duration_of_fixations.押,0,0,0
Total_duration_of_fixations.し,0,0,0
Total_duration_of_fixations.上,283,283,283
Total_duration_of_fixations.げ,0,0,0
Total_duration_of_fixations.た,0,0,0
Total_duration_of_fixations.小,0,0,0
Total_duration_of_fixations.笠,0,0,0
Total_duration_of_fixations.原,433,433,433
Total_duration_of_fixations.高,333,333,333
Total_duration_of_fixations.気,517,517,517
Total_duration_of_fixations.圧,0,0,0
Total_duration_of_fixations.の,225,225,225
Total_duration_of_fixations.強,400,400,400
Total_duration_of_fixations.い,100,100,100
Total_duration_of_fixations.状,1350,1350,1350
Total_duration_of_fixations.態,608,608,608
Total_duration_of_fixations.が,417,417,417
Total_duration_of_fixations.、,0,0,0
Total_duration_of_fixations.小,183,183,183
Total_duration_of_fixations.笠,0,0,0
Total_duration_of_fixations.原,275,275,275
Total_duration_of_fixations.高,1242,1242,1242
Total_duration_of_fixations.気,283,283,283
Total_duration_of_fixations.圧,1033,1033,1033
Total_duration_of_fixations.の,0,0,0
Total_duration_of_fixations.活,0,0,0
Total_duration_of_fixations.動,833,833,833
Total_duration_of_fixations.の,233,233,233
Total_duration_of_fixations.強,1200,1200,1200
Total_duration_of_fixations.弱,1200,1200,1200
Total_duration_of_fixations.の,0,0,0
Total_duration_of_fixations.周,467,467,467
Total_duration_of_fixations.期,0,0,0
Total_duration_of_fixations.、,483,483,483
Total_duration_of_fixations.つ,0,0,0
Total_duration_of_fixations.ま,0,0,0
Total_duration_of_fixations.り,0,0,0
Total_duration_of_fixations.1,0,0,0
Total_duration_of_fixations.0,0,0,0
Total_duration_of_fixations.日,250,250,250
Total_duration_of_fixations.く,0,0,0
Total_duration_of_fixations.ら,0,0,0
Total_duration_of_fixations.い,0,0,0
Total_duration_of_fixations.続,0,0,0
Total_duration_of_fixations.く,392,392,392
Total_duration_of_fixations.た,0,0,0
Total_duration_of_fixations.め,0,0,0
Total_duration_of_fixations.で,192,192,192
Total_duration_of_fixations.あ,0,0,0
Total_duration_of_fixations.る,0,0,0
Total_duration_of_fixations.。,0,0,0
Total_duration_of_fixations.日,0,0,0
Total_duration_of_fixations.本,0,0,0
Total_duration_of_fixations.列,208,208,208
Total_duration_of_fixations.島,0,0,0
Total_duration_of_fixations.に,192,192,192
Total_duration_of_fixations.張,0,0,0
Total_duration_of_fixations.り,158,158,158
Total_duration_of_fixations.出,167,167,167
Total_duration_of_fixations.し,183,183,183
Total_duration_of_fixations.て,0,0,0
Total_duration_of_fixations.く,200,200,200
Total_duration_of_fixations.る,0,0,0
Total_duration_of_fixations.小,0,0,0
Total_duration_of_fixations.笠,0,0,0
Total_duration_of_fixations.原,317,317,317
Total_duration_of_fixations.高,167,167,167
Total_duration_of_fixations.気,0,0,0
Total_duration_of_fixations.圧,0,0,0
Total_duration_of_fixations.か,550,550,550
Total_duration_of_fixations.ら,0,0,0
Total_duration_of_fixations.暖,0,0,0
Total_duration_of_fixations.か,275,275,275
Total_duration_of_fixations.く,0,0,0
Total_duration_of_fixations.湿,0,0,0
Total_duration_of_fixations.っ,0,0,0
Total_duration_of_fixations.た,208,208,208
Total_duration_of_fixations.空,0,0,0
Total_duration_of_fixations.気,0,0,0
Total_duration_of_fixations.が,0,0,0
Total_duration_of_fixations.日,75,75,75
Total_duration_of_fixations.本,0,0,0
Total_duration_of_fixations.列,0,0,0
Total_duration_of_fixations.島,0,0,0
Total_duration_of_fixations.に,325,325,325
Total_duration_of_fixations.入,0,0,0
Total_duration_of_fixations.り,217,217,217
Total_duration_of_fixations.、,0,0,0
Total_duration_of_fixations.気,0,0,0
Total_duration_of_fixations.圧,0,0,0
Total_duration_of_fixations.の,843,843,843
Total_duration_of_fixations.差,817,817,817
Total_duration_of_fixations.が,0,0,0
Total_duration_of_fixations.小,0,0,0
Total_duration_of_fixations.さ,375,375,375
Total_duration_of_fixations.く,0,0,0
Total_duration_of_fixations.、,0,0,0
Total_duration_of_fixations.等,0,0,0
Total_duration_of_fixations.圧,550,550,550
Total_duration_of_fixations.線,742,742,742
Total_duration_of_fixations.の,0,0,0
Total_duration_of_fixations.間,442,442,442
Total_duration_of_fixations.隔,242,242,242
Total_duration_of_fixations.が,250,250,250
Total_duration_of_fixations.広,0,0,0
Total_duration_of_fixations.い,0,0,0
Total_duration_of_fixations.た,0,0,0
Total_duration_of_fixations.め,442,442,442
Total_duration_of_fixations.に,0,0,0
Total_duration_of_fixations.風,0,0,0
Total_duration_of_fixations.も,0,0,0
Total_duration_of_fixations.弱,258,258,258
Total_duration_of_fixations.い,0,0,0
Total_duration_of_fixations.の,0,0,0
Total_duration_of_fixations.で,483,483,483
Total_duration_of_fixations.非,0,0,0
Total_duration_of_fixations.常,0,0,0
Total_duration_of_fixations.に,0,0,0
Total_duration_of_fixations.蒸,267,267,267
Total_duration_of_fixations.し,0,0,0
Total_duration_of_fixations.暑,0,0,0
Total_duration_of_fixations.く,608,608,608
Total_duration_of_fixations.な,258,258,258
Total_duration_of_fixations.る,0,0,0
Total_duration_of_fixations.。,0,0,0
Total_duration_of_fixations.風,0,0,0
Total_duration_of_fixations.が,908,908,908
Total_duration_of_fixations.弱,908,908,908
Total_duration_of_fixations.い,975,975,975
Total_duration_of_fixations.上,308,308,308
Total_duration_of_fixations.に,0,0,0
Total_duration_of_fixations.湿,233,233,233
Total_duration_of_fixations.度,917,917,917
Total_duration_of_fixations.が,0,0,0
Total_duration_of_fixations.高,433,433,433
Total_duration_of_fixations.い,650,650,650
Total_duration_of_fixations.た,0,0,0
Total_duration_of_fixations.め,0,0,0
Total_duration_of_fixations.、,0,0,0
Total_duration_of_fixations.体,175,175,175
Total_duration_of_fixations.感,492,492,492
Total_duration_of_fixations.温,908,908,908
Total_duration_of_fixations.度,633,633,633
Total_duration_of_fixations.は,608,608,608
Total_duration_of_fixations.熱,0,0,0
Total_duration_of_fixations.帯,1150,1150,1150
Total_duration_of_fixations.地,0,0,0
Total_duration_of_fixations.方,650,650,650
Total_duration_of_fixations.を,733,733,733
Total_duration_of_fixations.上,0,0,0
Total_duration_of_fixations.回,650,650,650
Total_duration_of_fixations.る,0,0,0
Total_duration_of_fixations.ほ,250,250,250
Total_duration_of_fixations.ど,0,0,0
Total_duration_of_fixations.で,550,550,550
Total_duration_of_fixations.あ,0,0,0
Total_duration_of_fixations.る,0,0,0
Total_duration_of_fixations.。,0,0,0
Total_duration_of_fixations.さ,0,0,0
Total_duration_of_fixations.ら,233,233,233
Total_duration_of_fixations.に,0,0,0
Total_duration_of_fixations.、,0,0,0
Total_duration_of_fixations.高,0,0,0
Total_duration_of_fixations.い,175,175,175
Total_duration_of_fixations.湿,508,508,508
Total_duration_of_fixations.度,258,258,258
Total_duration_of_fixations.が,200,200,200
Total_duration_of_fixations.局,0,0,0
Total_duration_of_fixations.地,350,350,350
Total_duration_of_fixations.的,725,725,725
Total_duration_of_fixations.に,0,0,0
Total_duration_of_fixations.積,0,0,0
Total_duration_of_fixations.乱,692,692,692
Total_duration_of_fixations.雲,392,392,392
Total_duration_of_fixations.を,0,0,0
Total_duration_of_fixations.発,0,0,0
Total_duration_of_fixations.生,233,233,233
Total_duration_of_fixations.さ,275,275,275
Total_duration_of_fixations.せ,0,0,0
Total_duration_of_fixations.、,158,158,158
Total_duration_of_fixations.雷,0,0,0
Total_duration_of_fixations.を,417,417,417
Total_duration_of_fixations.伴,0,0,0
Total_duration_of_fixations.い,1183,1183,1183
Total_duration_of_fixations.激,0,0,0
Total_duration_of_fixations.し,0,0,0
Total_duration_of_fixations.く,0,0,0
Total_duration_of_fixations.雨,217,217,217
Total_duration_of_fixations.が,0,0,0
Total_duration_of_fixations.降,0,0,0
Total_duration_of_fixations.る,0,0,0
Total_duration_of_fixations.夕,0,0,0
Total_duration_of_fixations.立,217,217,217
Total_duration_of_fixations.が,0,0,0
Total_duration_of_fixations.起,0,0,0
Total_duration_of_fixations.こ,0,0,0
Total_duration_of_fixations.り,200,200,200
Total_duration_of_fixations.や,175,175,175
Total_duration_of_fixations.す,0,0,0
Total_duration_of_fixations.い,0,0,0
Total_duration_of_fixations.。,0,0,0
Total_duration_of_fixations.夏,0,0,0
Total_duration_of_fixations.の,467,467,467
Total_duration_of_fixations.強,0,0,0
Total_duration_of_fixations.い,350,350,350
Total_duration_of_fixations.日,150,150,150
Total_duration_of_fixations.射,0,0,0
Total_duration_of_fixations.で,342,342,342
Total_duration_of_fixations.暖,158,158,158
Total_duration_of_fixations.ま,0,0,0
Total_duration_of_fixations.っ,0,0,0
Total_duration_of_fixations.た,233,233,233
Total_duration_of_fixations.地,0,0,0
Total_duration_of_fixations.上,192,192,192
Total_duration_of_fixations.付,0,0,0
Total_duration_of_fixations.近,217,217,217
Total_duration_of_fixations.の,0,0,0
Total_duration_of_fixations.湿,592,592,592
Total_duration_of_fixations.っ,0,0,0
Total_duration_of_fixations.た,158,158,158
Total_duration_of_fixations.空,200,200,200
Total_duration_of_fixations.気,0,0,0
Total_duration_of_fixations.が,400,400,400
Total_duration_of_fixations.強,0,0,0
Total_duration_of_fixations.い,267,267,267
Total_duration_of_fixations.上,0,0,0
Total_duration_of_fixations.昇,0,0,0
Total_duration_of_fixations.気,642,642,642
Total_duration_of_fixations.流,0,0,0
Total_duration_of_fixations.で,0,0,0
Total_duration_of_fixations.上,0,0,0
Total_duration_of_fixations.昇,0,0,0
Total_duration_of_fixations.し,508,508,508
Total_duration_of_fixations.雲,0,0,0
Total_duration_of_fixations.と,658,658,658
Total_duration_of_fixations.な,0,0,0
Total_duration_of_fixations.り,0,0,0
Total_duration_of_fixations.、,0,0,0
Total_duration_of_fixations.上,0,0,0
Total_duration_of_fixations.空,0,0,0
Total_duration_of_fixations.ま,0,0,0
Total_duration_of_fixations.で,925,925,925
Total_duration_of_fixations.達,167,167,167
Total_duration_of_fixations.す,0,0,0
Total_duration_of_fixations.る,442,442,442
Total_duration_of_fixations.積,0,0,0
Total_duration_of_fixations.乱,817,817,817
Total_duration_of_fixations.雲,167,167,167
Total_duration_of_fixations.を,0,0,0
Total_duration_of_fixations.作,0,0,0
Total_duration_of_fixations.る,317,317,317
Total_duration_of_fixations.の,225,225,225
Total_duration_of_fixations.で,0,0,0
Total_duration_of_fixations.あ,325,325,325
Total_duration_of_fixations.る,0,0,0
Total_duration_of_fixations.。,125,125,125
Total_duration_of_fixations.こ,0,0,0
Total_duration_of_fixations.の,0,0,0
Total_duration_of_fixations.よ,0,0,0
Total_duration_of_fixations.う,233,233,233
Total_duration_of_fixations.な,242,242,242
Total_duration_of_fixations.夏,0,0,0
Total_duration_of_fixations.の,567,567,567
Total_duration_of_fixations.典,0,0,0
Total_duration_of_fixations.型,1408,1408,1408
Total_duration_of_fixations.的,608,608,608
Total_duration_of_fixations.な,192,192,192
Total_duration_of_fixations.気,258,258,258
Total_duration_of_fixations.圧,475,475,475
Total_duration_of_fixations.配,742,742,742
Total_duration_of_fixations.置,600,600,600
Total_duration_of_fixations.を,0,0,0
Total_duration_of_fixations.南,0,0,0
Total_duration_of_fixations.高,1700,1700,1700
Total_duration_of_fixations.北,2058,2058,2058
Total_duration_of_fixations.低,1658,1658,1658
Total_duration_of_fixations.型,1742,1742,1742
Total_duration_of_fixations.と,0,0,0
Total_duration_of_fixations.い,0,0,0
Total_duration_of_fixations.う,0,0,0
Total_duration_of_fixations.。,0,0,0
Total_duration_of_fixations.高,0,0,0
Total_duration_of_fixations.気,592,592,592
Total_duration_of_fixations.圧,0,0,0
Total_duration_of_fixations.が,0,0,0
Total_duration_of_fixations.東,0,0,0
Total_duration_of_fixations.シ,400,400,400
Total_duration_of_fixations.ナ,0,0,0
Total_duration_of_fixations.海,0,0,0
Total_duration_of_fixations.や,0,0,0
Total_duration_of_fixations.朝,175,175,175
Total_duration_of_fixations.鮮,258,258,258
Total_duration_of_fixations.半,0,0,0
Total_duration_of_fixations.島,0,0,0
Total_duration_of_fixations.に,0,0,0
Total_duration_of_fixations.ま,0,0,0
Total_duration_of_fixations.で,0,0,0
Total_duration_of_fixations.張,258,258,258
Total_duration_of_fixations.り,0,0,0
Total_duration_of_fixations.出,250,250,250
Total_duration_of_fixations.し,0,0,0
Total_duration_of_fixations.膨,142,142,142
Total_duration_of_fixations.ら,233,233,233
Total_duration_of_fixations.ん,125,125,125
Total_duration_of_fixations.だ,233,233,233
Total_duration_of_fixations.形,0,0,0
Total_duration_of_fixations.に,917,917,917
Total_duration_of_fixations.な,400,400,400
Total_duration_of_fixations.っ,0,0,0
Total_duration_of_fixations.た,0,0,0
Total_duration_of_fixations.り,0,0,0
Total_duration_of_fixations.、,0,0,0
Total_duration_of_fixations.副,0,0,0
Total_duration_of_fixations.次,1142,1142,1142
Total_duration_of_fixations.的,150,150,150
Total_duration_of_fixations.な,0,0,0
Total_duration_of_fixations.高,700,700,700
Total_duration_of_fixations.気,0,0,0
Total_duration_of_fixations.圧,283,283,283
Total_duration_of_fixations.が,0,0,0
Total_duration_of_fixations.で,0,0,0
Total_duration_of_fixations.き,0,0,0
Total_duration_of_fixations.た,925,925,925
Total_duration_of_fixations.り,167,167,167
Total_duration_of_fixations.す,0,0,0
Total_duration_of_fixations.る,0,0,0
Total_duration_of_fixations.と,0,0,0
Total_duration_of_fixations.、,0,0,0
Total_duration_of_fixations.ほ,183,183,183
Total_duration_of_fixations.ぼ,0,0,0
Total_duration_of_fixations.無,692,692,692
Total_duration_of_fixations.風,1208,1208,1208
Total_duration_of_fixations.に,0,0,0
Total_duration_of_fixations.な,0,0,0
Total_duration_of_fixations.り,0,0,0
Total_duration_of_fixations.、,0,0,0
Total_duration_of_fixations.高,0,0,0
Total_duration_of_fixations.気,233,233,233
Total_duration_of_fixations.圧,842,842,842
Total_duration_of_fixations.の,0,0,0
Total_duration_of_fixations.勢,167,167,167
Total_duration_of_fixations.力,358,358,358
Total_duration_of_fixations.が,0,0,0
Total_duration_of_fixations.強,0,0,0
Total_duration_of_fixations.い,242,242,242
Total_duration_of_fixations.の,0,0,0
Total_duration_of_fixations.で,0,0,0
Total_duration_of_fixations.天,242,242,242
Total_duration_of_fixations.気,0,0,0
Total_duration_of_fixations.も,0,0,0
Total_duration_of_fixations.し,0,0,0
Total_duration_of_fixations.ば,0,0,0
Total_duration_of_fixations.ら,183,183,183
Total_duration_of_fixations.く,0,0,0
Total_duration_of_fixations.崩,0,0,0
Total_duration_of_fixations.れ,0,0,0
Total_duration_of_fixations.ず,333,333,333
Total_duration_of_fixations.、,0,0,0
Total_duration_of_fixations.西,0,0,0
Total_duration_of_fixations.日,0,0,0
Total_duration_of_fixations.本,0,0,0
Total_duration_of_fixations.を,0,0,0
Total_duration_of_fixations.中,167,167,167
Total_duration_of_fixations.心,0,0,0
Total_duration_of_fixations.に,0,0,0
Total_duration_of_fixations.猛,0,0,0
Total_duration_of_fixations.暑,0,0,0
Total_duration_of_fixations.が,0,0,0
Total_duration_of_fixations.続,242,242,242
Total_duration_of_fixations.く,0,0,0
Total_duration_of_fixations.が,0,0,0
Total_duration_of_fixations.、,0,0,0
Total_duration_of_fixations.こ,0,0,0
Total_duration_of_fixations.の,0,0,0
Total_duration_of_fixations.よ,0,0,0
Total_duration_of_fixations.う,0,0,0
Total_duration_of_fixations.な,0,0,0
Total_duration_of_fixations.気,0,0,0
Total_duration_of_fixations.圧,0,0,0
Total_duration_of_fixations.配,0,0,0
Total_duration_of_fixations.置,583,583,583
Total_duration_of_fixations.を,500,500,500
Total_duration_of_fixations.等,0,0,0
Total_duration_of_fixations.圧,0,0,0
Total_duration_of_fixations.線,792,792,792
Total_duration_of_fixations.の,0,0,0
Total_duration_of_fixations.形,0,0,0
Total_duration_of_fixations.か,0,0,0
Total_duration_of_fixations.ら,0,0,0
Total_duration_of_fixations.鯨,0,0,0
Total_duration_of_fixations.の,0,0,0
Total_duration_of_fixations.尾,242,242,242
Total_duration_of_fixations.型,0,0,0
Total_duration_of_fixations.と,0,0,0
Total_duration_of_fixations.い,1058,1058,1058
Total_duration_of_fixations.う,417,417,417
Total_duration_of_fixations.。,0,0,0
Total_duration_of_fixations.風,0,0,0
Total_duration_of_fixations.が,1550,1550,1550
Total_duration_of_fixations.弱,0,0,0
Total_duration_of_fixations.く,0,0,0
Total_duration_of_fixations.日,0,0,0
Total_duration_of_fixations.射,592,592,592
Total_duration_of_fixations.が,0,0,0
Total_duration_of_fixations.強,492,492,492
Total_duration_of_fixations.け,150,150,150
Total_duration_of_fixations.れ,583,583,583
Total_duration_of_fixations.ば,0,0,0
Total_duration_of_fixations.、,0,0,0
Total_duration_of_fixations.昼,0,0,0
Total_duration_of_fixations.間,1458,1458,1458
Total_duration_of_fixations.は,0,0,0
Total_duration_of_fixations.海,1017,1017,1017
Total_duration_of_fixations.風,1225,1225,1225
Total_duration_of_fixations.、,858,858,858
Total_duration_of_fixations.夜,175,175,175
Total_duration_of_fixations.間,0,0,0
Total_duration_of_fixations.は,0,0,0
Total_duration_of_fixations.陸,1525,1525,1525
Total_duration_of_fixations.風,0,0,0
Total_duration_of_fixations.と,0,0,0
Total_duration_of_fixations.い,167,167,167
Total_duration_of_fixations.う,0,0,0
Total_duration_of_fixations.海,0,0,0
Total_duration_of_fixations.陸,100,100,100
Total_duration_of_fixations.風,517,517,517
Total_duration_of_fixations.が,183,183,183
Total_duration_of_fixations.は,183,183,183
Total_duration_of_fixations.っ,0,0,0
Total_duration_of_fixations.き,0,0,0
Total_duration_of_fixations.り,192,192,192
Total_duration_of_fixations.と,0,0,0
Total_duration_of_fixations.現,0,0,0
Total_duration_of_fixations.れ,325,325,325
Total_duration_of_fixations.る,0,0,0
Total_duration_of_fixations.地,300,300,300
Total_duration_of_fixations.域,525,525,525
Total_duration_of_fixations.が,0,0,0
Total_duration_of_fixations.多,400,400,400
Total_duration_of_fixations.い,267,267,267
Total_duration_of_fixations.。,150,150,150
Total_duration_of_fixations.8,0,0,0
Total_duration_of_fixations.月,0,0,0
Total_duration_of_fixations.7,0,0,0
Total_duration_of_fixations.日,0,0,0
Total_duration_of_fixations.前,0,0,0
Total_duration_of_fixations.後,0,0,0
Total_duration_of_fixations.の,0,0,0
Total_duration_of_fixations.立,450,450,450
Total_duration_of_fixations.秋,0,0,0
Total_duration_of_fixations.の,842,842,842
Total_duration_of_fixations.頃,2425,2425,2425
Total_duration_of_fixations.が,0,0,0
Total_duration_of_fixations.最,175,175,175
Total_duration_of_fixations.も,0,0,0
Total_duration_of_fixations.暑,258,258,258
Total_duration_of_fixations.く,0,0,0
Total_duration_of_fixations.な,0,0,0
Total_duration_of_fixations.る,692,692,692
Total_duration_of_fixations.。,0,0,0
Total_duration_of_fixations.一,0,0,0
Total_duration_of_fixations.方,158,158,158
Total_duration_of_fixations.、,0,0,0
Total_duration_of_fixations.日,0,0,0
